index,Rótulos de Linha,cleaned_text,Contagem de Publication Number
236,"UNIVERSIDADE FEDERAL DE VIÇOSA,BR | UNIVERSIDADE FEDERAL DE OURO PRETO,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS,BR | FIETTO Juliana Lopes Rangel,BR | LAMÊGO Márcia Rogèria de Almeida,BR | SOUZA Ronny Francisco de,BR | ZÓBOLI Antonio Phelipe Carlette,BR | BAHIA Maria Terezinha,BR | AFONSO Luís Carlos Crocco,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,2
237,"UNIVERSIDADE FEDERAL DE VIÇOSA,Vicosa,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,Belo Horizonte,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,1
238,"UNIVERSIDADE FEDERAL DO CEARÁ,BR",UNIVERSIDADE_FEDERAL_DO_CEARA,1
239,"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO - UFES,BR",UNIVERSIDADE_FEDERAL_DO_ESPIRITO_SANTO___UFES,1
240,"UNIVERSIDADE FEDERAL DO PARANA,BR",UNIVERSIDADE_FEDERAL_DO_PARANA,2
241,"UNIVERSIDADE FEDERAL DO PARANÁ,BR",UNIVERSIDADE_FEDERAL_DO_PARANA,8
242,"UNIVERSIDADE FEDERAL DO PARANA,BR | IMUNOVA ANÁLISES BIOLÓGICAS LTDA,BR",UNIVERSIDADE_FEDERAL_DO_PARANA,2
243,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO - UFRJ,BR | UNIVERSIDADE FEDERAL DE SERGIPE,BR | LA JOLLA INSTITUTE FOR IMMUNOLOGY,US",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO___UFRJ,1
244,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO UFRJ,BR",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO_UFRJ,4
245,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,BR",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO,4
246,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,BR | GUTFILEN Bianca,BR | BARBOSA DA FONSECA Lea Mirian,BR | LOPES DE SOUZA Sergio Augusto,BR | PROENÇA LOBO LOPES Flávia Paiva,BR",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO,1
247,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,BR | LINDEN Rafael,BR | SILVA Hilda Petrs,BR | CHIARINI Luciana Barreto,BR",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO,1
248,"Universidade Federal Do Rio De Janeiro,Rio de Janeiro,BR",UNIVERSIDADE_FEDERAL_DO_RIO_DE_JANEIRO,2
249,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,BR",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_NORTE,1
250,"Universidade Federal Do Rio Grande Do Sul,90040060 Porto Alegre-RS,BR,101803979",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_SUL,1
251,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BR",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_SUL,4
252,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BR | HOSPITAL DE CLÍNICAS DE PORTO ALEGRE,BR",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_SUL,1
253,"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BR | THE UNITED STATES OF AMERICA as represented by THE SECRETARY OF AGRICULTURE,US | WASHINGTON STATE UNIVERSITY,US",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_SUL,1
254,"Universidade Federal do Rio Grande do Sul,Porto Alegre,BR",UNIVERSIDADE_FEDERAL_DO_RIO_GRANDE_DO_SUL,1
255,"UNIVERSIDADE TIRADENTES - UNIT,BR | INSTITUTO DE TECNOLOGIA E PESQUISA,BR",UNIVERSIDADE_TIRADENTES___UNIT,1
256,VAZIO,VAZIO,12
257,"VIDAL RAMON OLIVEIRA,BAHLA,BR | SANTOS MARCOS TADEU DOS,SAO PAULO,BR | FLEURY S/A,SAO PAULO,BR | HOSPITAL DO CANCER DE BARRETOS - FUNDACAO PIO XII,SAO PAULO,BR | UNIVERSIDADE FEDERAL DO MARANHAO,SAO LUIS,BR",VIDAL_RAMON_OLIVEIRA,1
258,"WAMA PRODUTOS PARA LABORATÓRIO LTDA,BR",WAMA_PRODUTOS_PARA_LABORATORIO_LTDA,1
